33 10
0.00632915 -0.00172885 0.00998333 0.00776504 0.000469502 -0.00199547 -0.0108141 0.00243196 0.00274845 -0.000453576 
0.0341299 0.0368388 0.0295214 0.0313054 0.0311633 0.028758 0.0439707 0.0342065 0.0331161 0.0345076 
0.0651134 0.0606386 0.0621374 0.0622731 0.0566816 0.0605708 0.0569051 0.0633463 0.0525543 0.063767 
0.0755951 0.0783103 0.0849244 0.0853992 0.0678016 0.086691 0.0641752 0.0856591 0.0787817 0.0754277 
0.0871445 0.0857635 0.0888403 0.103352 0.0763658 0.0853489 0.0892677 0.0924726 0.0953683 0.0990756 
0.0843055 0.0987921 0.0973144 0.0957208 0.0724651 0.100501 0.0778884 0.0989218 0.0897718 0.101978 
0.0861859 0.105344 0.0999425 0.105211 0.076771 0.110702 0.0683332 0.103409 0.097489 0.104003 
0.0952645 0.110207 0.117679 0.131288 0.0979995 0.114008 0.0959603 0.119003 0.109401 0.121846 
0.119642 0.138522 0.138545 0.14779 0.109749 0.140743 0.118002 0.149014 0.132847 0.143246 
0.152703 0.168609 0.163501 0.174799 0.131266 0.169258 0.130972 0.169552 0.154682 0.175338 
0.163648 0.192382 0.187444 0.204111 0.159741 0.181071 0.165186 0.197797 0.178293 0.192913 
0.184509 0.203669 0.203399 0.218012 0.173777 0.207161 0.174272 0.207688 0.19612 0.220426 
0.190172 0.21992 0.21138 0.225817 0.17901 0.225412 0.176974 0.219947 0.207853 0.233588 
0.181951 0.213152 0.211641 0.222917 0.175612 0.21901 0.181064 0.218896 0.211129 0.224321 
0.173102 0.208079 0.202321 0.209981 0.164184 0.204207 0.171082 0.204102 0.192194 0.205848 
0.168379 0.192996 0.189194 0.205477 0.1516 0.21136 0.156616 0.200718 0.196294 0.202521 
0.173571 0.197386 0.196172 0.200832 0.156303 0.200814 0.159348 0.195689 0.175922 0.191297 
0.176162 0.195709 0.194611 0.222566 0.154967 0.202951 0.152018 0.210032 0.187399 0.195536 
0.178758 0.20684 0.201427 0.21704 0.166961 0.215086 0.171589 0.195988 0.189686 0.207687 
0.183189 0.211422 0.204873 0.222622 0.177446 0.217569 0.178976 0.218203 0.198765 0.218974 
0.199631 0.208037 0.209212 0.230388 0.179987 0.220442 0.183955 0.217298 0.200205 0.236362 
0.192247 0.205691 0.20283 0.219335 0.166689 0.219371 0.181167 0.211112 0.194756 0.204536 
0.170763 0.189847 0.179881 0.195283 0.151307 0.20107 0.162123 0.184319 0.169244 0.196469 
0.141556 0.164449 0.15103 0.1707 0.131473 0.166845 0.124365 0.175649 0.14966 0.171354 
0.116378 0.132149 0.138185 0.147202 0.101132 0.138108 0.108613 0.140839 0.129231 0.133844 
0.0951259 0.102487 0.115494 0.126461 0.087475 0.120878 0.0929589 0.119904 0.105337 0.116318 
0.0878539 0.100806 0.0864569 0.109765 0.0757437 0.106522 0.0772943 0.10872 0.102125 0.102818 
0.0850065 0.0857672 0.0909003 0.0969821 0.073969 0.10521 0.0712933 0.093451 0.0948359 0.103626 
0.0859536 0.0892064 0.0824983 0.0968431 0.0810775 0.0949075 0.071179 0.0878077 0.078727 0.0978899 
0.0782344 0.0904282 0.077306 0.0831144 0.0718393 0.0846749 0.0669967 0.074765 0.0811072 0.0813325 
0.0516109 0.0550994 0.0562372 0.0692626 0.0540615 0.0737731 0.0553643 0.0689376 0.0559274 0.0642785 
0.0325745 0.0389996 0.0250138 0.0392067 0.0291753 0.0382308 0.021599 0.0256322 0.0431357 0.0390618 
-0.00105176 0.00291397 0.00267744 -0.00169827 -0.000306841 0.0045722 0.00339557 -0.00729527 -0.0027022 -0.00228215 
