0.0025         -1.389e-22     -1.25e-06      -5.55598e-20   -0.0005        -2.22239e-17   -0.2 
0.005          -3.04583e-22   -3.75e-06      -6.62732e-20   -0.001         -4.28535e-18   -0.2 
0.0075         -4.21857e-22   -7.5e-06       -4.691e-20     -0.0015        7.74528e-18    -0.2 
0.01           -4.72132e-22   -1.25e-05      -2.01098e-20   -0.002         1.07201e-17    -0.2 
0.0125         -4.78063e-22   -1.875e-05     -2.37225e-21   -0.0025        7.09501e-18    -0.2 
0.015          -4.77596e-22   -2.625e-05     1.86556e-22    -0.003         1.02352e-18    -0.2 
0.0175         -5.05643e-22   -3.5e-05       -1.12189e-20   -0.0035        -4.56217e-18   -0.2 
0.02           -5.77007e-22   -4.5e-05       -2.85454e-20   -0.004         -6.93062e-18   -0.2 
0.0225         -6.86002e-22   -5.625e-05     -4.3598e-20    -0.0045        -6.02103e-18   -0.2 
0.025          -8.07385e-22   -6.875e-05     -4.85534e-20   -0.005         -1.98218e-18   -0.2 
